"Category","modeltime","fable","better"
"CPI: C&F: Clothing",1.46681204355901,1.51854936375383,"modeltime"
"CPI: C&F: Footwear",2.45883404454722,2.84367970512376,"modeltime"
"CPI: Education: General, Vocational & Higher Education (GVH Edu)",0.917263143814431,0.917263143814431,"tie"
"CPI: Education: Private Tuition & Other Educational Courses",0.351276967837884,0.351276967837884,"tie"
"CPI: Education: School Textbooks & Study Guides",0.749440199383827,0.756617144043324,"modeltime"
"CPI: FBSS: Fast Food",0.441424659394185,0.537223743783308,"modeltime"
"CPI: FBSS: Hawker Food Incl. Food Courts (HF&FC)",0.249268095299506,0.249268095299506,"tie"
"CPI: FBSS: Oth Catering Services, Incl Vending Machines",1.50869525456631,1.57659767316197,"modeltime"
"CPI: FBSS: Restaurants, Cafes & Pubs",0.667924713505476,0.667924713505476,"tie"
"CPI: FFBSS: Fish & Seafood",1.87975219986604,2.3637199123461,"modeltime"
"CPI: FFBSS: Fruits & Nuts (FN)",1.76101132931146,1.76101132931146,"tie"
"CPI: FFBSS: Meat",0.376338026538632,0.376338026538632,"tie"
"CPI: FFBSS: Milk, Other Dairy & Eggs",0.791726233657898,1.00857804266596,"modeltime"
"CPI: FFBSS: Non-Alcoholic Beverages",1.81540339360536,1.81837510204217,"modeltime"
"CPI: FFBSS: Oils & Fats",1.31967959462129,1.72189460879857,"modeltime"
"CPI: FFBSS: Ready-Made & Oth. Food Nec",0.898237746071108,1.08981448780714,"modeltime"
"CPI: FFBSS: Rice & Cereals",1.63214312510064,1.63214312510064,"tie"
"CPI: FFBSS: Sugar, Confectionery & Desserts (SCD)",3.6609661122477,3.6609661122477,"tie"
"CPI: FFBSS: Vegetables",2.54956864440074,2.67860075365705,"modeltime"
"CPI: HDS: Furniture & Furnishings",0.696484229044258,0.711294597070001,"modeltime"
"CPI: HDS: Glassware, Tableware & Household Utensils",1.75978661106844,1.75978661106844,"tie"
"CPI: HDS: Household Appliances",0.628858506496489,0.628858506496489,"tie"
"CPI: HDS: Household Services & Supplies (HSS)",0.213149732958661,0.198551902733886,"fable"
"CPI: HDS: Household Textiles",3.92825697867241,3.87755324189501,"fable"
"CPI: HDS: Tools & Equipment For House & Garden",1.19791923723735,1.29787365220687,"modeltime"
"CPI: Health: Health Insurance",5.59015352212273,5.71224393732755,"modeltime"
"CPI: Health: Inpatient Services",0.564028561175916,0.564028561175916,"tie"
"CPI: Health: Medicines & Health Products",0.766120830767414,0.766120830767414,"tie"
"CPI: Health: Other Health Services (OHS)",0.54173766579512,0.498538192743702,"fable"
"CPI: Health: Outpatient Services",0.234561726140912,0.234561726140912,"tie"
"CPI: Housing & Utilities: Accommodation",0.493890133850885,0.493890133850885,"tie"
"CPI: Housing & Utilities: Utilities & Other Fuels",1.40097104916131,1.40097104916131,"tie"
"CPI: InfoComm: InfoComm Services",1.45356157557216,1.52121900533227,"modeltime"
"CPI: InfoComm: Information & Communication Equipment",2.63500438941785,2.63500438941785,"tie"
"CPI: InfoComm: Software Excl Games",0,0,"tie"
"CPI: MG&S: Alcoholic Drinks & Tobacco",1.03137016906049,0.912865695644114,"fable"
"CPI: MG&S: Other Miscellaneous Services",0.124671568531078,0.108333948885784,"fable"
"CPI: MG&S: Personal Care",0.850724766576798,0.849128095596125,"fable"
"CPI: MG&S: Personal Effects",1.30354131837435,1.3279932949414,"modeltime"
"CPI: MG&S: Social Services",4.10414577036939,4.10414577036939,"tie"
"CPI: RSC: Cultural Services",0.483805411910907,0.52183621746293,"modeltime"
"CPI: RSC: Garden Products & Pets",0.674587715117878,0.741309070346321,"modeltime"
"CPI: RSC: Holiday Expenses",2.18251790480915,2.18251790480915,"tie"
"CPI: RSC: Newspapers, Books & Stationery (NBS)",0.585231107391639,0.547368827566424,"fable"
"CPI: RSC: Other Recreational Goods (ORG)",1.25302352412434,1.31401418191461,"modeltime"
"CPI: RSC: Recreational & Cultural Goods",0.736749883420649,0.736749883420649,"tie"
"CPI: RSC: Recreational Services",0.779335570464733,1.01278981240703,"modeltime"
"CPI: Transport: Land Transport Services",0.490989611295548,0.815746364160054,"modeltime"
"CPI: Transport: Other Transport Services",1.75452424760149,2.58006196827118,"modeltime"
"CPI: Transport: Private Transport",1.01900054647701,1.01900054647701,"tie"
"CPI: Transport: Transport Services Of Goods",0.789662670889924,0.789662670889924,"tie"
